Gene,Non-unique Gene name,Annotation,SPARK_0516,SPARK_1059,SPARK_1507,SPARK_1852,SPARK_1954,SPARK_2540
elfD,elfD,putative fimbrial chaperone protein ElfD,JHOIBPIP_03588,HHCJKAOK_04148,BNPNPENK_04200,LNHDNJLJ_04229,KJPPOAMA_03613,KELBMKEO_03754
elfA,elfA,Fimbrial subunit ElfA;Laminin-binding fimbrial subunit ElfA,JHOIBPIP_03589,HHCJKAOK_04149,BNPNPENK_04201,LNHDNJLJ_04230,KJPPOAMA_03614,KELBMKEO_03755
lolD_2,lolD_2,Lipoprotein-releasing system ATP-binding protein LolD,JHOIBPIP_03207,HHCJKAOK_03741,BNPNPENK_03800,LNHDNJLJ_03841,KJPPOAMA_03241,KELBMKEO_03380
elfC_1~~~elfC_2,elfC_1;elfC_2,putative outer membrane usher protein ElfC,JHOIBPIP_03587,HHCJKAOK_04147,BNPNPENK_04199,LNHDNJLJ_04228,KJPPOAMA_03612,KELBMKEO_03753
sfmH,sfmH,putative fimbrial-like protein SfmH,JHOIBPIP_03586,HHCJKAOK_04146,BNPNPENK_04198,LNHDNJLJ_04227,KJPPOAMA_03611,KELBMKEO_03752
iprA_6,iprA_6,Inhibitor of hydrogen peroxide resistance,JHOIBPIP_03590,HHCJKAOK_04150,BNPNPENK_04202,LNHDNJLJ_04231,KJPPOAMA_03615,KELBMKEO_03756
group_2282,,hypothetical protein,JHOIBPIP_03206,HHCJKAOK_03740,BNPNPENK_03799,LNHDNJLJ_03840,KJPPOAMA_03240,KELBMKEO_03379
ycbU,ycbU,putative fimbrial-like protein YcbU,JHOIBPIP_03585,HHCJKAOK_04145,BNPNPENK_04197,LNHDNJLJ_04226,KJPPOAMA_03610,KELBMKEO_03751
group_2280,,hypothetical protein,JHOIBPIP_03591,HHCJKAOK_04151,BNPNPENK_04203,LNHDNJLJ_04232,KJPPOAMA_03616,KELBMKEO_03757
group_2279,,hypothetical protein,JHOIBPIP_03205,HHCJKAOK_03739,BNPNPENK_03798,LNHDNJLJ_03839,KJPPOAMA_03239,KELBMKEO_03378
fimF_2,fimF_2,Protein FimF,JHOIBPIP_03584,HHCJKAOK_04144,BNPNPENK_04196,LNHDNJLJ_04225,KJPPOAMA_03609,KELBMKEO_03750
ompN_1~~~ompC_2,ompN_1;ompC_2,Outer membrane porin N;Outer membrane porin C,JHOIBPIP_01238;JHOIBPIP_01239,HHCJKAOK_01718,BNPNPENK_01726,LNHDNJLJ_01782,KJPPOAMA_01155,KELBMKEO_01333
leuC_2,leuC_2,3-isopropylmalate dehydratase large subunit,JHOIBPIP_03567,HHCJKAOK_04127,BNPNPENK_04179,LNHDNJLJ_04208,KJPPOAMA_03592,KELBMKEO_03733
group_2277,,hypothetical protein,JHOIBPIP_03592,HHCJKAOK_04152,BNPNPENK_04204,LNHDNJLJ_04233,KJPPOAMA_03617,KELBMKEO_03758
group_2276,,hypothetical protein,JHOIBPIP_03204,HHCJKAOK_03738,BNPNPENK_03797,LNHDNJLJ_03838,KJPPOAMA_03238,KELBMKEO_03377
ydgJ_1,ydgJ_1,putative oxidoreductase YdgJ,JHOIBPIP_01580,HHCJKAOK_02125,BNPNPENK_02077,LNHDNJLJ_02240,KJPPOAMA_01566,KELBMKEO_01752
group_2275,,hypothetical protein,JHOIBPIP_02258,HHCJKAOK_02838,BNPNPENK_02760,LNHDNJLJ_02937,KJPPOAMA_02278,KELBMKEO_02484
dmlR_16~~~dmlR_14,dmlR_16;dmlR_14,HTH-type transcriptional regulator DmlR,JHOIBPIP_03565,HHCJKAOK_04126,BNPNPENK_04178,LNHDNJLJ_04207,KJPPOAMA_03591,KELBMKEO_03732
group_2272,,hypothetical protein,JHOIBPIP_01211,HHCJKAOK_01690,BNPNPENK_01698,LNHDNJLJ_01761,KJPPOAMA_01134,KELBMKEO_01295
group_2271,,hypothetical protein,JHOIBPIP_04587,HHCJKAOK_00261,BNPNPENK_00270,LNHDNJLJ_00274,KJPPOAMA_04591,KELBMKEO_04750
fabF_3~~~fabF_2,;fabF_3;fabF_2,hypothetical protein;3-oxoacyl-[acyl-carrier-protein] synthase 2,JHOIBPIP_04588,HHCJKAOK_00262,BNPNPENK_00271,LNHDNJLJ_00275,KJPPOAMA_04592,KELBMKEO_04751
pptA,pptA,Tautomerase PptA,JHOIBPIP_01717,HHCJKAOK_02273,BNPNPENK_02228,LNHDNJLJ_02392,KJPPOAMA_01696,KELBMKEO_01898
mscS_1,mscS_1,Small-conductance mechanosensitive channel,JHOIBPIP_00129,HHCJKAOK_00578,BNPNPENK_00595,LNHDNJLJ_00597,KJPPOAMA_00094,KELBMKEO_00134
ycbF,ycbF,putative fimbrial chaperone YcbF,JHOIBPIP_03583,HHCJKAOK_04143,BNPNPENK_04195,LNHDNJLJ_04224,KJPPOAMA_03608,KELBMKEO_03749
yedR,yedR,Inner membrane protein YedR,JHOIBPIP_01240,HHCJKAOK_01719,BNPNPENK_01727,LNHDNJLJ_01783,KJPPOAMA_01156,KELBMKEO_01334
sdcS_2~~~sdcS,sdcS_2;sdcS,Sodium-dependent dicarboxylate transporter SdcS,JHOIBPIP_03568,HHCJKAOK_04128,BNPNPENK_04180,LNHDNJLJ_04209,KJPPOAMA_03593,KELBMKEO_03734
group_2268,,hypothetical protein,JHOIBPIP_03593,HHCJKAOK_04153,BNPNPENK_04205,LNHDNJLJ_04234,KJPPOAMA_03618,KELBMKEO_03759
group_2266,,hypothetical protein,JHOIBPIP_03203,HHCJKAOK_03737,BNPNPENK_03796,LNHDNJLJ_03837,KJPPOAMA_03237,KELBMKEO_03376
glpR_2~~~glcR_1,glpR_2;glcR_1,Glycerol-3-phosphate regulon repressor;HTH-type transcriptional repressor GlcR,JHOIBPIP_01581,HHCJKAOK_02126,BNPNPENK_02078,LNHDNJLJ_02241,KJPPOAMA_01567,KELBMKEO_01753
fgd,fgd,F420-dependent glucose-6-phosphate dehydrogenase,JHOIBPIP_01755,HHCJKAOK_02311,BNPNPENK_02266,LNHDNJLJ_02431,KJPPOAMA_01735,KELBMKEO_01936
oppF_2~~~oppF_1,oppF_2;oppF_1,Oligopeptide transport ATP-binding protein OppF,JHOIBPIP_02166,HHCJKAOK_02752,BNPNPENK_02675,LNHDNJLJ_02852,KJPPOAMA_02189,KELBMKEO_02401
group_2262,,hypothetical protein,JHOIBPIP_03947,HHCJKAOK_04489,BNPNPENK_04543,LNHDNJLJ_04586,KJPPOAMA_03947,KELBMKEO_04108
group_2261,,hypothetical protein,JHOIBPIP_03564,HHCJKAOK_04125,BNPNPENK_04177,LNHDNJLJ_04206,KJPPOAMA_03590,KELBMKEO_03731
group_2258,,hypothetical protein,JHOIBPIP_04599,HHCJKAOK_00273,BNPNPENK_00282,LNHDNJLJ_00286,KJPPOAMA_04603,KELBMKEO_04762
gcvA_2,gcvA_2,Glycine cleavage system transcriptional activator,JHOIBPIP_01210,HHCJKAOK_01689,BNPNPENK_01697,LNHDNJLJ_01760,KJPPOAMA_01133,KELBMKEO_01294
fabG_2~~~fabG_11,fabG_2;fabG_11,3-oxoacyl-[acyl-carrier-protein] reductase FabG,JHOIBPIP_04586,HHCJKAOK_00260,BNPNPENK_00269,LNHDNJLJ_00273,KJPPOAMA_04590,KELBMKEO_04749
group_2256,,putative signaling protein;hypothetical protein,JHOIBPIP_01413,HHCJKAOK_01901;HHCJKAOK_01900;HHCJKAOK_01902,BNPNPENK_01882,LNHDNJLJ_01966,KJPPOAMA_01344,KELBMKEO_01537;KELBMKEO_01535;KELBMKEO_01536
group_2255,,hypothetical protein,JHOIBPIP_04589,HHCJKAOK_00263,BNPNPENK_00272,LNHDNJLJ_00276,KJPPOAMA_04593,KELBMKEO_04752
acs_1,;acs_1,hypothetical protein;Acetyl-coenzyme A synthetase,JHOIBPIP_04595,HHCJKAOK_00269,BNPNPENK_00278,LNHDNJLJ_00282,KJPPOAMA_04599,KELBMKEO_04758
treS~~~malL,treS;malL,Trehalose synthase/amylase TreS;Oligo-16-glucosidase 1,JHOIBPIP_01918,HHCJKAOK_02501,BNPNPENK_02425,LNHDNJLJ_02606,KJPPOAMA_01931,KELBMKEO_02151
group_2254,,hypothetical protein,JHOIBPIP_01892,HHCJKAOK_02448,BNPNPENK_02399,LNHDNJLJ_02569,KJPPOAMA_01877,KELBMKEO_02078
group_2253,,hypothetical protein,JHOIBPIP_01718,HHCJKAOK_02274,2_refound_20_pseudo,3_refound_27_pseudo,KJPPOAMA_01697,KELBMKEO_01899
aaaT,aaaT,L-amino acid N-acetyltransferase AaaT,JHOIBPIP_04628,HHCJKAOK_00302,BNPNPENK_00316,LNHDNJLJ_00320,KJPPOAMA_04632,KELBMKEO_04791
blc_1,blc_1,Outer membrane lipoprotein Blc,JHOIBPIP_02866,HHCJKAOK_03399,BNPNPENK_03452,LNHDNJLJ_03498,KJPPOAMA_02833,KELBMKEO_03030
gstB_2~~~gstB_1,gstB_2;gstB_1,Glutathione S-transferase GST-6.0,JHOIBPIP_01716,HHCJKAOK_02272,BNPNPENK_02227,LNHDNJLJ_02391,KJPPOAMA_01695,KELBMKEO_01897
group_2252,,hypothetical protein,JHOIBPIP_01754,HHCJKAOK_02310,BNPNPENK_02265,LNHDNJLJ_02430,KJPPOAMA_01734,KELBMKEO_01935
group_2251,,hypothetical protein,JHOIBPIP_02618,HHCJKAOK_03135,BNPNPENK_03176,LNHDNJLJ_03220,KJPPOAMA_02571,KELBMKEO_02765
group_2250,,hypothetical protein,JHOIBPIP_01148,HHCJKAOK_01637,BNPNPENK_01636,LNHDNJLJ_01698,KJPPOAMA_01080,KELBMKEO_01242
group_2249,,hypothetical protein,JHOIBPIP_00130,HHCJKAOK_00579,BNPNPENK_00596,LNHDNJLJ_00598,KJPPOAMA_00095,KELBMKEO_00135
group_2248,,hypothetical protein,JHOIBPIP_03582,HHCJKAOK_04142,BNPNPENK_04194,LNHDNJLJ_04223,KJPPOAMA_03607,KELBMKEO_03748
yedJ,yedJ,putative protein YedJ,JHOIBPIP_01241,HHCJKAOK_01720,BNPNPENK_01728,LNHDNJLJ_01784,KJPPOAMA_01157,KELBMKEO_01335
surE_2,surE_2,5'/3'-nucleotidase SurE,JHOIBPIP_01895,HHCJKAOK_02477,BNPNPENK_02403,LNHDNJLJ_02582,KJPPOAMA_01909,KELBMKEO_02127
ybhI,ybhI,Inner membrane protein YbhI,JHOIBPIP_03569,HHCJKAOK_04129,BNPNPENK_04181,LNHDNJLJ_04210,KJPPOAMA_03594,KELBMKEO_03735
eamA_1,eamA_1,putative amino-acid metabolite efflux pump,JHOIBPIP_01976,HHCJKAOK_02561,BNPNPENK_02482,LNHDNJLJ_02662,KJPPOAMA_01991,KELBMKEO_02211
group_2245,,hypothetical protein,JHOIBPIP_03594,HHCJKAOK_04154,BNPNPENK_04206,LNHDNJLJ_04235,KJPPOAMA_03619,KELBMKEO_03760
hisC_3~~~hisC_2,hisC_3;hisC_2,Histidinol-phosphate aminotransferase,JHOIBPIP_01939,HHCJKAOK_02523,BNPNPENK_02445,LNHDNJLJ_02625,KJPPOAMA_01953,KELBMKEO_02173
group_2240,,putative ABC transporter ATP-binding protein,JHOIBPIP_02241,HHCJKAOK_02821,BNPNPENK_02743,LNHDNJLJ_02919,KJPPOAMA_02262,KELBMKEO_02466
group_2239,,hypothetical protein,JHOIBPIP_01938,HHCJKAOK_02522,BNPNPENK_02444,LNHDNJLJ_02624,KJPPOAMA_01952,KELBMKEO_02172
fenF,fenF,Malonyl CoA-acyl carrier protein transacylase,JHOIBPIP_03202,HHCJKAOK_03736,BNPNPENK_03795,LNHDNJLJ_03836,KJPPOAMA_03236,KELBMKEO_03375
group_2238,,putative ABC transporter permease protein,JHOIBPIP_02240,HHCJKAOK_02820,BNPNPENK_02742,LNHDNJLJ_02918,KJPPOAMA_02261,KELBMKEO_02465
gsiA_1,gsiA_1,Glutathione import ATP-binding protein GsiA,JHOIBPIP_01582,HHCJKAOK_02127,BNPNPENK_02079,LNHDNJLJ_02242,KJPPOAMA_01568,KELBMKEO_01754
gsiA_2,gsiA_2,Glutathione import ATP-binding protein GsiA,JHOIBPIP_01756,HHCJKAOK_02312,BNPNPENK_02267,LNHDNJLJ_02432,KJPPOAMA_01736,KELBMKEO_01937
fimD_4~~~elfC_3,fimD_4;elfC_3,Outer membrane usher protein FimD;putative outer membrane usher protein ElfC,JHOIBPIP_03996,HHCJKAOK_04537,BNPNPENK_04591,LNHDNJLJ_04633,KJPPOAMA_03995,KELBMKEO_04156
group_2233,,hypothetical protein,JHOIBPIP_00794,HHCJKAOK_01319,BNPNPENK_01269,LNHDNJLJ_01328,KJPPOAMA_00769,KELBMKEO_00849
group_2232,,hypothetical protein,JHOIBPIP_01782,HHCJKAOK_02338,BNPNPENK_02293,LNHDNJLJ_02457,KJPPOAMA_01762,KELBMKEO_01963
dmsD,dmsD,Tat proofreading chaperone DmsD,JHOIBPIP_02010,HHCJKAOK_02595,BNPNPENK_02515,LNHDNJLJ_02694,KJPPOAMA_02025,KELBMKEO_02245
ydjE,ydjE,Inner membrane metabolite transport protein YdjE,JHOIBPIP_01783,HHCJKAOK_02339,BNPNPENK_02294,LNHDNJLJ_02458,KJPPOAMA_01763,KELBMKEO_01964
group_2231,,hypothetical protein,JHOIBPIP_02260,HHCJKAOK_02839,BNPNPENK_02762,LNHDNJLJ_02939,KJPPOAMA_02280,KELBMKEO_02485
group_2230,,hypothetical protein,JHOIBPIP_01398,HHCJKAOK_01882,BNPNPENK_01869,LNHDNJLJ_01953,KJPPOAMA_01326,KELBMKEO_01517
group_2229,,hypothetical protein,JHOIBPIP_01896,HHCJKAOK_02479,BNPNPENK_02404,LNHDNJLJ_02584,KJPPOAMA_01910,KELBMKEO_02129
oppD_1,oppD_1,Oligopeptide transport ATP-binding protein OppD,JHOIBPIP_02165,HHCJKAOK_02751,BNPNPENK_02674,LNHDNJLJ_02851,KJPPOAMA_02188,KELBMKEO_02400
group_2227,,hypothetical protein,JHOIBPIP_03946,HHCJKAOK_04488,BNPNPENK_04542,LNHDNJLJ_04585,KJPPOAMA_03946,KELBMKEO_04107
citB_2,citB_2,Transcriptional regulatory protein CitB,JHOIBPIP_03563,HHCJKAOK_04124,BNPNPENK_04176,LNHDNJLJ_04205,KJPPOAMA_03589,KELBMKEO_03730
yehX,yehX,Glycine betaine uptake system ATP-binding protein YehX,JHOIBPIP_01098,HHCJKAOK_01585,BNPNPENK_01582,LNHDNJLJ_01647,KJPPOAMA_01030,KELBMKEO_01177
group_2226,gabR_2,HTH-type transcriptional regulatory protein GabR,JHOIBPIP_03157,HHCJKAOK_03691,BNPNPENK_03750,LNHDNJLJ_03791,KJPPOAMA_03191,KELBMKEO_03330
dgcQ,dgcQ,putative diguanylate cyclase DgcQ,JHOIBPIP_01247,HHCJKAOK_01726,BNPNPENK_01734,LNHDNJLJ_01790,KJPPOAMA_01163,KELBMKEO_01341
group_2223,,hypothetical protein,JHOIBPIP_01251,HHCJKAOK_01730,BNPNPENK_01738,LNHDNJLJ_01794,KJPPOAMA_01167,KELBMKEO_01345
group_2222,,hypothetical protein;putative protein,JHOIBPIP_01322,HHCJKAOK_01801,BNPNPENK_01804,LNHDNJLJ_01864,KJPPOAMA_01246,KELBMKEO_01432
ylaC,ylaC,Inner membrane protein YlaC,JHOIBPIP_03156,HHCJKAOK_03690,BNPNPENK_03749,LNHDNJLJ_03790,KJPPOAMA_03190,KELBMKEO_03329
group_2221,,hypothetical protein,JHOIBPIP_04600,HHCJKAOK_00274,BNPNPENK_00283,LNHDNJLJ_00287,KJPPOAMA_04604,KELBMKEO_04763
group_2220,,hypothetical protein,JHOIBPIP_04596,HHCJKAOK_00270,BNPNPENK_00279,LNHDNJLJ_00283,KJPPOAMA_04600,KELBMKEO_04759
group_2219,,hypothetical protein,JHOIBPIP_04598,HHCJKAOK_00272,BNPNPENK_00281,LNHDNJLJ_00285,KJPPOAMA_04602,KELBMKEO_04761
ybiI,ybiI,putative protein YbiI,JHOIBPIP_02824,HHCJKAOK_03360,BNPNPENK_03410,LNHDNJLJ_03455,KJPPOAMA_02791,KELBMKEO_02991
group_2218,,hypothetical protein,JHOIBPIP_02134,HHCJKAOK_02719,BNPNPENK_02641,LNHDNJLJ_02819,KJPPOAMA_02157,KELBMKEO_02369
group_2214,,hypothetical protein,JHOIBPIP_01209,HHCJKAOK_01688,BNPNPENK_01696,LNHDNJLJ_01759,KJPPOAMA_01132,KELBMKEO_01293
mlrA_2,mlrA_2,HTH-type transcriptional regulator MlrA,JHOIBPIP_02368,HHCJKAOK_02952,BNPNPENK_02859,LNHDNJLJ_03037,KJPPOAMA_02393,KELBMKEO_02590
nikE,nikE,Nickel import ATP-binding protein NikE,JHOIBPIP_04570,HHCJKAOK_00244,BNPNPENK_00253,LNHDNJLJ_00257,KJPPOAMA_04574,KELBMKEO_04733
fabF_1~~~fabF_2,fabF_1;fabF_2,3-oxoacyl-[acyl-carrier-protein] synthase 2,JHOIBPIP_04585,HHCJKAOK_00259,BNPNPENK_00268,LNHDNJLJ_00272,KJPPOAMA_04589,KELBMKEO_04748
lpxD_1~~~lpxD_2,lpxD_1;lpxD_2,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,JHOIBPIP_03349,HHCJKAOK_03910,BNPNPENK_03961,LNHDNJLJ_03984,KJPPOAMA_03375,KELBMKEO_03517
group_2210,,hypothetical protein,JHOIBPIP_04590,HHCJKAOK_00264,BNPNPENK_00273,LNHDNJLJ_00277,KJPPOAMA_04594,KELBMKEO_04753
group_2209,,hypothetical protein,JHOIBPIP_04594,HHCJKAOK_00268,BNPNPENK_00277,LNHDNJLJ_00281,KJPPOAMA_04598,KELBMKEO_04757
yjjQ,yjjQ,Putative transcription factor YjjQ,JHOIBPIP_03647,HHCJKAOK_04204,BNPNPENK_04260,LNHDNJLJ_04289,KJPPOAMA_03669,KELBMKEO_03810
shlB_1,;shlB_1,hypothetical protein;Hemolysin transporter protein ShlB,JHOIBPIP_03216;JHOIBPIP_03217,HHCJKAOK_03751,BNPNPENK_03809;BNPNPENK_03810,LNHDNJLJ_03850,KJPPOAMA_03250,KELBMKEO_03389
ymdA~~~ymdA_1,ymdA;;ymdA_1,putative protein YmdA;hypothetical protein,JHOIBPIP_02445,HHCJKAOK_03029,BNPNPENK_02994,LNHDNJLJ_03115,KJPPOAMA_02470,KELBMKEO_02667
group_2205,,hypothetical protein,JHOIBPIP_01891,HHCJKAOK_02447,BNPNPENK_02398,LNHDNJLJ_02568,KJPPOAMA_01876,KELBMKEO_02077
group_2204,,hypothetical protein,JHOIBPIP_04677,HHCJKAOK_00354,BNPNPENK_00367,LNHDNJLJ_00371,KJPPOAMA_04681,KELBMKEO_04840
ybdO_2,ybdO_2,putative HTH-type transcriptional regulator YbdO,JHOIBPIP_03002,HHCJKAOK_03535,BNPNPENK_03589,LNHDNJLJ_03635,KJPPOAMA_02969,KELBMKEO_03166
group_2203,,hypothetical protein,JHOIBPIP_01719,HHCJKAOK_02275,BNPNPENK_02229,LNHDNJLJ_02393,KJPPOAMA_01698,KELBMKEO_01900
mtnC,mtnC,Enolase-phosphatase E1,JHOIBPIP_03006,HHCJKAOK_03539,BNPNPENK_03593,LNHDNJLJ_03639,KJPPOAMA_02973,KELBMKEO_03170
tmoT,tmoT,Response regulator protein TmoT,JHOIBPIP_01898,HHCJKAOK_02481,BNPNPENK_02406,LNHDNJLJ_02586,KJPPOAMA_01912,KELBMKEO_02131
ribZ_1,ribZ_1,Riboflavin transporter RibZ,JHOIBPIP_00666,HHCJKAOK_01160,BNPNPENK_01146,LNHDNJLJ_01144,KJPPOAMA_00634,KELBMKEO_00671
fimC_3,fimC_3,Chaperone protein FimC,JHOIBPIP_03997,HHCJKAOK_04538,BNPNPENK_04592,LNHDNJLJ_04634,KJPPOAMA_03996,KELBMKEO_04157
group_2202,,hypothetical protein,JHOIBPIP_04629,HHCJKAOK_00303,BNPNPENK_00317,LNHDNJLJ_00321,KJPPOAMA_04633,KELBMKEO_04792
group_2201,,hypothetical protein,JHOIBPIP_02867,HHCJKAOK_03400,BNPNPENK_03453,LNHDNJLJ_03499,KJPPOAMA_02834,KELBMKEO_03031
tenA,tenA,Aminopyrimidine aminohydrolase,JHOIBPIP_01813,HHCJKAOK_02367,BNPNPENK_02320,LNHDNJLJ_02485,KJPPOAMA_01792,KELBMKEO_01992
group_2200,,hypothetical protein,JHOIBPIP_00353,HHCJKAOK_00805,BNPNPENK_00826,LNHDNJLJ_00830,KJPPOAMA_00334,KELBMKEO_00367
btr~~~rhaS_4,btr;rhaS_4,HTH-type transcriptional activator Btr;HTH-type transcriptional activator RhaS,JHOIBPIP_03648,HHCJKAOK_04205,BNPNPENK_04261,LNHDNJLJ_04290,KJPPOAMA_03670,KELBMKEO_03811
group_2199,,hypothetical protein,JHOIBPIP_01715,HHCJKAOK_02271,BNPNPENK_02226,LNHDNJLJ_02390,KJPPOAMA_01694,KELBMKEO_01896
group_2197,,hypothetical protein,JHOIBPIP_00477,HHCJKAOK_00991,BNPNPENK_00949,LNHDNJLJ_00957,KJPPOAMA_00457,KELBMKEO_00492
rutD,rutD,Putative aminoacrylate hydrolase RutD,JHOIBPIP_02471,HHCJKAOK_03054,BNPNPENK_03019,LNHDNJLJ_03140,KJPPOAMA_02496,KELBMKEO_02696
pdxK,pdxK,Pyridoxine/pyridoxal/pyridoxamine kinase,JHOIBPIP_00846,HHCJKAOK_01370,BNPNPENK_01320,LNHDNJLJ_01379,KJPPOAMA_00820,KELBMKEO_00900
araJ,araJ,Putative transporter AraJ,JHOIBPIP_01753,HHCJKAOK_02309,BNPNPENK_02264,LNHDNJLJ_02429,KJPPOAMA_01733,KELBMKEO_01934
cueR_2,cueR_2,HTH-type transcriptional regulator CueR,JHOIBPIP_02619,HHCJKAOK_03136,BNPNPENK_03177,LNHDNJLJ_03221,KJPPOAMA_02572,KELBMKEO_02766
group_2195,,hypothetical protein,JHOIBPIP_03304,HHCJKAOK_03837,BNPNPENK_03897,LNHDNJLJ_03937,KJPPOAMA_03338,KELBMKEO_03476
group_2194,,hypothetical protein,JHOIBPIP_01147,HHCJKAOK_01636,BNPNPENK_01635,LNHDNJLJ_01697,KJPPOAMA_01079,KELBMKEO_01241
group_2193,,hypothetical protein,JHOIBPIP_00959;JHOIBPIP_00960,HHCJKAOK_01444;HHCJKAOK_01445,BNPNPENK_01444;BNPNPENK_01445,LNHDNJLJ_01504;LNHDNJLJ_01503,KJPPOAMA_00893,KELBMKEO_01037;KELBMKEO_01036
group_2192,,hypothetical protein,JHOIBPIP_00131,HHCJKAOK_00580,BNPNPENK_00597,LNHDNJLJ_00599,KJPPOAMA_00096,KELBMKEO_00136
yhjB,yhjB,Putative HTH-type transcriptional regulator YhjB,JHOIBPIP_04547,HHCJKAOK_00225,BNPNPENK_00229,LNHDNJLJ_00233,KJPPOAMA_04551,KELBMKEO_04711
group_2191,,hypothetical protein,JHOIBPIP_03581,HHCJKAOK_04141,BNPNPENK_04193,LNHDNJLJ_04222,KJPPOAMA_03606,KELBMKEO_03747
group_2190,,putative protein,JHOIBPIP_02208,HHCJKAOK_02791,BNPNPENK_02714,LNHDNJLJ_02890,KJPPOAMA_02229,KELBMKEO_02437
